LocationName,LocationType,Address
Fortis College - Cutler Bay,Additional Location,"19600 South Dixie Hwy, Cutler Bay, FL 33157"
College of Central Florida,Institution,"3001 SW College Road, Ocala, FL 34474"
Citrus County Campus,Additional Location,"3800 S. Lecanto Hwy., Lecanto, FL 34461"
Hampton Center,Additional Location,"1501 W. Silver Springs Blvd., Ocala, FL 34475"
Levy County Center,Additional Location,"114 Rodgers Blvd., Chiefland, FL 32626"
Florida Christian College,Institution,"1011 Bill Beck Blvd, Kissimmee, FL 34744"
University of Central Florida,Institution,"4365 Andromeda Loop, N, Orlando, FL 32816"
Downtown Campus,Additional Location,"Pine Street, Orlando, FL 32801"
Daytona Beach Regional Campus,Additional Location,"1200 W Int'l Speedway Blvd, Daytona Beach, FL 32114"
Cocoa Regional Campus,Additional Location,"1519 Clearlake Road, Cocoa, FL 32922"
Ocala Regional Campus,Additional Location,"3001 SW College Road, Ocala, FL 34474"
Palm Bay Regional Campus,Additional Location,"250 Community College Parkway Building 3, Palm Bay, FL 32909"
Leesburg Regional Campus,Additional Location,"9501 US Highway 441, Leesburg, FL 34788"
South Lake Regional Campus,Additional Location,"1250 N Hancock Road, Clermont, FL 34711"
Valencia Osceola Regional Campus,Additional Location,"1800 Denn John Lane Building 3, Suite 319, Kissimmee, FL 34744"
Valencia West Regional Campus,Additional Location,"1800 South Kirkman Road Building 11, Room 104, Orlando, FL 32811"
Sanford/Lake Mary Regional Campus,Additional Location,"100 Weldon Boulevard Partnership Center, Sanford, FL 32773"
South Orlando Regional Campus,Additional Location,"7300 Lake Ellenor Drive, Orlando, FL 32809"
Charlotte Technical College,Institution,"18150 Murdock Circle, Port Charlotte, FL 33948-3399"
"Charlotte Technical College - Englewood Area Fire Control Campus, District Admin Office",Additional Location,"516 Paul Morris Drive, Englewood, FL 34223"
Chipola College,Institution,"3094 Indian Circle, Marianna, FL 32446-2053"
Clearwater Christian College,Institution,"3400 Gulf to Bay Blvd, Clearwater, FL 33759-4595"
Lorenzo Walker Technical College,Institution,"3702 Estey Avenue, Naples, FL 34104"
Daytona State College,Institution,"1200 W. International Speedway Blvd., Daytona Beach, FL 32114"
Four Townes Campus,Additional Location,"336 East Highbanks Road, DeBary, FL 32713"
DeLand Campus,Additional Location,"1155 County Road 4139, DeLand, FL 32724"
Advanced Technology Center,Additional Location,"1770 Technology Boulevard, Daytona Beach, FL 32117"
Deltona Center,Additional Location,"2351 Providence Boulevard, Deltona, FL 32725"
Flagler/Palm Coast Campus,Additional Location,"3000 Palm Coast Pkwy SE, Palm Coast, FL 32137"
New Smyrna/Edgewater,Additional Location,"940 10th St, New Smyrna Beach, FL 32168"
Eckerd College,Institution,"4200 54th Avenue South, Saint Petersburg, FL 33711-4700"
Florida SouthWestern State College,Institution,"8099 College Pky SW, Fort Myers, FL 33919-0000"
Lee County Campus,Additional Location,"8099 College Pkwy. SW, Ft. Myers, FL 33919"
Charlotte County Campus,Additional Location,"26300 Airport Road, Punta Gorda, FL 33950"
Collier County Campus,Additional Location,"7007 Lely Cultural Parkway, Naples, FL 34113"
Educating Hands School of Massage,Institution,"111 NE 1st street, 2nd floor, Miami, FL 33132"
Edward Waters College,Institution,"1658 Kings Rd, Jacksonville, FL 32209"
Embry-Riddle Aeronautical University - Daytona Beach,Institution,"600 S Clyde Morris Blvd, Daytona Beach, FL 32114-3900"
Daytona Beach,Additional Location,"2359 Beville Road, Daytona Beach, FL 32119"
Worldwide Campus,Additional Location,"600 S. Clyde Morris Blvd., Daytona Beach, FL 32114"
Prescott Campus,Additional Location,"3700 Willow Creek Rd, Prescott, AZ 86301"
Florida Agricultural and Mechanical University,Institution,"1601 South Martin Luther King Jr. Boulevard, Tallahassee, FL 32307"
Florida Agricultural and Mechanical University - College of Law,Additional Location,"201 Beggs Avenue, Orlando, FL 32801"
Florida Agricultural and Mechanical University - Crestview Campus,Additional Location,"501 North Spring Street, Crestview, FL 32536"
Florida Atlantic University,Institution,"777 Glades Rd, Boca Raton, FL 33431-0991"
Davie Campus,Additional Location,"2912 College Avenue, Davie, FL 33314"
Fr. Lauderdale-Commercial,Additional Location,"1515 W Commercial Blvd, Ft. Lauderdale, FL 33309"
Harbor Branch,Additional Location,"5600 US 1 North, Fort Pierce, FL 34946"
John D. MacArthur Campus,Additional Location,"5353 Parkside Dr, Jupiter, FL 33458"
Florida State College at Jacksonville,Institution,"501 W State St, Jacksonville, FL 32202"
Kent Campus,Additional Location,"3939 Roosevelt Blvd, Jacksonville, FL 32205"
North Campus,Additional Location,"4501 Capper Road, Jacksonville, FL 32218"
South Campus,Additional Location,"11901 Beach Blvd, Jacksonville, FL 32246"
Florida State College at Jacksonville - Deerwood Campus,Additional Location,"9911 Old Baymeadows Road, Jacksonville, FL 32256"
Florida State College at Jacksonville - Nassau Center,Additional Location,"760 William Burgess Blvd, Yulee, FL 32097"
William M. Raines HS,Additional Location,"3663 Raines Ave, Jacksonville, FL 32209"
Downtown Campus,Additional Location,"101 State St West, Jacksonville, FL 32202"
Jean Ribault HS,Additional Location,"3701 Winton Dr, Jacksonville, FL 32208"
A. Philip Randolph Academies of Tech,Additional Location,"1157 Golfair Blvd, Jacksonville, FL 32209"
Sonshine Christian Acad,Additional Location,"1912 S Kings Rd, Callahan, FL 32011"
Beaches Chapel School,Additional Location,"610 Florida Blvd, Neptune Beach, FL 32266"
First Coast HS,Additional Location,"590 Duval Station Rd, Jacksonville, FL 32218"
Hilliard HS,Additional Location,"1 Flashes Ave, Hilliard, FL 32046"
Flagler College,Institution,"74 King Street, Saint Augustine, FL 32084"
FC-Tallahassee,Additional Location,"444 Appleyard Drive, Tallahassee, FL 32304"
FlightSafety Academy,Institution,"2805 Airport Drive, P.O. Box 2708, Vero Beach, FL 32961"
Florida College,Institution,"119 N Glen Arven Ave, Temple Terrace, FL 33617-5578"
Concorde Career Institute,Institution,"7259 Salisbury Rd., Jacksonville, FL 32256"
Concorde Career Institute,Institution,"10933 Marks Way, Miramar, FL 33025"
Concorde Career Institute,Institution,"4202 W. Spruce Street, Tampa, FL 33607"
AdventHealth University,Institution,"671 Winyah Drive, Orlando, FL 32803"
Florida Institute of Technology,Institution,"150 West University Boulevard, Melbourne, FL 32901-6975"
Florida Institute of Ultrasound,Institution,"8800 University Parkway, Suite A4, Pensacola, FL 32514"
Florida International University,Institution,"11200 SW 8th Street, Miami, FL 33199"
The College of the Florida Keys,Institution,"5901 College Road, Key West, FL 33040"
Middle Keys Center,Additional Location,"900 Sombrero Beach Rd, Marathon, FL 33050"
Upper Keys Center,Additional Location,"89951 US Hwy 1, Tavernier, FL 33070"
Florida Memorial University,Institution,"15800 NW 42 Ave, Miami Gardens, FL 33054-6199"
Mays Middle School,Additional Location,"11700 SW 216th St, Miami, FL 33142"
Charles Dew,Additional Location,"1801 NW 60th St, Miami, FL 33142"
Hialeah,Additional Location,"6027 E 7th Ave, Miami, FL 33013"
Florida Career College - Miami,Institution,"1321 S.W. 107 Avenue, Suite 201B, Miami, FL 33174"
Florida Career College - Hialeah,Additional Location,"3750 West 18th Avenue, Hialeah, FL 33012"
Florida Career College - Kendall,Additional Location,"11731 Mills Drive, Miami, FL 33183"
Florida Career College - Jacksonville,Additional Location,"6600 Youngerman Circle, Jacksonville, FL 32244"
Florida Career College - Lauderdale Lakes,Additional Location,"3383 N. State Road 7, Lauderdale Lakes, FL 33319"
Florida Career College - Pembroke Pines,Additional Location,"7891 Pines Boulevard, Pembroke Pines, FL 33024"
Florida Career College - Boynton Beach,Additional Location,"1743 North Congress Avenue, Boynton Beach, FL 33426"
Florida Career College - Margate,Additional Location,"3271 North State Road 7, Margate, FL 33063"
Florida Career College - West Palm Beach,Additional Location,"6058 Okeechobee Boulevard, West Palm Beach, FL 33417"
Florida Career College - Riverview,Additional Location,"9950 Princess Palm Avenue, Suite 100, Tampa, FL 33619"
Florida Career College - Clearwater,Additional Location,"410 Park Place Blvd, Clearwater, FL 33759"
Florida Career College - Orlando,Additional Location,"989 North Semoran Boulevard, Orlando, FL 32807"
Florida Career College,Additional Location,"70-A FM 1960 Rd. West, Houston, TX 77090"
UEI College,Additional Location,"9215 N. Black Canyon Highway, Phoenix, AZ 85021"
Florida School of Massage,Institution,"6421 SW 13th Street, Gainesville, FL 32608-5419"
Florida Southern College,Institution,"111 Lake Hollingsworth Drive, Lakeland, FL 33801-5698"
Orlando Campus,Additional Location,"6035 S Rio Grande Ave, Orlando, FL 32809"
Florida State University,Institution,"222 South Copeland Street, Tallahassee, FL 32306-1470"
Asolo Conservatory for Actor Training,Additional Location,"5555 N Tamiami Trl, Sarasota, FL 34243"
Florida State University Panama City,Additional Location,"4750 Collegiate Drive, Panama City, FL 32405"
Florida State University College of Medicine,Additional Location,"Call Street, Tallahassee, FL"
Louise R. Goldhagen Regional Multidisciplinary Evaluation & Consulting Center,Additional Location,"715 West Gaines Street, Tallahassee, FL 32306-1603"
Florida Technical College,Institution,"12900 Challenger Parkway, Orlando, FL 32826"
Florida Technical College - Lakeland,Additional Location,"4715 South Florida Avenue, Suite 4, Lakeland, FL 33813"
Florida Technical College - Deland,Additional Location,"1199 South Woodland Blvd, Deland, FL 32720"
Florida Technical College - Kissimmee,Additional Location,"3831 West Vine Street, Kissimmee, FL 34741"
Florida Technical College - Pembroke Pines,Additional Location,"12516 Pines Boulevard, Pembroke Pines, FL 33027"
Florida Technical College,Additional Location,"1111 North Westshore Blvd., Suite 110, Tampa, FL 33607"
Florida Technical College - Cutler Bay,Additional Location,"20505 South Dixie Highway, Cutler Bay, FL 33189"
University of Southernmost Florida,Institution,"9550 Regency Square Boulevard, Suites 1100 and 1200, Jacksonville, FL 32225"
University of Southernmost Florida - Homestead Campus,Additional Location,"250 N Krome Avenue, Homestead, FL 33030"
University of Florida,Institution,"300 SW 13th Street, Gainesville, FL 32611"
University of Florida at Jacksonville,Additional Location,"2028 Boulevard, Jacksonville, FL 32206"
University of Florida at Hialeah,Additional Location,"750 East 25th Street, Hialeah, FL 33013"
University of Florida at Apopka,Additional Location,"209 East Seventh Street, Apopka, FL 32703-5327"
University of Florida - Orlando Campus,Additional Location,"6550 Sanger Road, Suite 420, Orlando, FL 32827"
University of Florida -St. Petersburg Campus,Additional Location,"9200 113th Street, N, St. Petersburg, FL 33772"
Fort Pierce Beauty Academy,Institution,"3028 S US 1, Fort Pierce, FL 34982-6333"
Full Sail University,Institution,"3300 University Blvd, Winter Park, FL 32792-7429"
George Stone Technical College,Institution,"2400 Longleaf Dr, Pensacola, FL 32526-8922"
"George Stone Technical College, Escambia County Road Prison",Additional Location,"601 Highway 297A, Cantonment, FL 32533"
"George Stone Technical College, Pathways for Change - The Family Center",Additional Location,"2050 W. Blount Street, Pensacola, FL 32501"
George T. Baker Aviation Technical College,Institution,"3275 NW 42nd Ave, Miami, FL 33142"
Gulf Coast State College,Institution,"5230 W Hwy 98, Panama City, FL 32401"
Key College,Institution,"225 East Dania Beach Blvd., #130, Dania Beach, FL 33004-3046"
Hillsborough Community College,Institution,"39 Columbia Drive, Tampa, FL 33606"
Dale Mabry,Additional Location,"4001 Tampa Bay Boulevard, Tampa, FL 33614"
Brandon,Additional Location,"10414 E Columbus Dr, Brandon, FL 33619"
Plant City,Additional Location,"1206 N Park Rd, Plant City, FL 33566"
Ybor City,Additional Location,"2112 N 15th St, Tampa, FL 33605"
Hobe Sound Bible College,Institution,"11298 SE Gomez Avenue, Hobe Sound, FL 33475"
Hollywood Institute of Beauty Careers,Institution,"420 South State Road 7, Hollywood, FL 33023"
Hollywood Institute of Beauty Careers - North Bay Village,Additional Location,"1440 JFK Causeway, Suite #100, North Bay Village, FL 33141"
Hollywood Institute of Beauty Careers,Additional Location,"7587-7599 South Dixie Highway, West Palm Beach, FL 33405"
Hollywood Institute of Beauty Careers,Additional Location,"1271 Semoran Boulevard, Suite 131, Casselberry, FL 32707"
Cortiva Institute - Florida,Institution,"4045 Park Blvd, Pinellas Park, FL 33781"
Indian River State College,Institution,"3209 Virginia Ave, Fort Pierce, FL 34981-5596"
Chastain Campus,Additional Location,"2400 SE Salerno Rd, Stuart, FL 34997"
Dixon-Hendry Campus,Additional Location,"2229 NW 9th Ave, Okeechobee, FL 34972"
Mueller Campus,Additional Location,"6155 College Lane, Vero Beach, FL 32966"
Ken Pruitt Campus,Additional Location,"500 NW California Blvd, Port St. Lucie, FL 34986"
International Academy,Institution,"2550 S Ridgewood Ave, South Daytona, FL 32119"
Miami International University of Art and Design,Institution,"1501 Biscayne Boulevard, Miami, FL 33132-1418"
Art Institute of Tampa,Additional Location,"4401 North Himes Avenue Suite 150, Tampa, FL 33614-7001"
